idx,タスク,概要,url
153,Visual Tracking(視覚追跡),視覚追跡は、ロボットサービス、スマートサーベイランスシステム、自律運転、人間のコンピューターの相互作用など、さまざまな現実世界のアプリケーションを備えたコンピュータービジョンの分野における重要な積極的に研究された問題です。,https://paperswithcode.com/task/visual-tracking
154,3D Depth Estimation(3D深度推定),画像：Monodepth2,https://paperswithcode.com/task/3d-depth-estimation
155,3D Shape Reconstruction(3D形状の再構築),画像クレジット：GSNET：幾何学的およびシーン認識監督によるジョイントビークルのポーズと形状の再構築、ECCV'20,https://paperswithcode.com/task/3d-shape-reconstruction
156,6D Pose Estimation(6Dポーズ推定),画像：Zeng et al,https://paperswithcode.com/task/6d-pose-estimation-1
157,Activity Recognition(アクティビティ認識),人間の活動認識は、ビデオ入力を与えられた人間によって実行されたイベントを特定する問題です。,https://paperswithcode.com/task/activity-recognition
158,Adversarial Robustness(敵対的な堅牢性),敵対的な堅牢性は、さまざまな種類の敵対的攻撃の下で機械学習モデルの脆弱性を評価します。,https://paperswithcode.com/task/adversarial-robustness
159,Blind Super-Resolution(盲目の超解像度),このタスクには説明がありません！,https://paperswithcode.com/task/blind-super-resolution
160,COVID-19 Diagnosis(Covid-19診断),Covid-19診断は、機械学習を持つ個人におけるCovid-19の存在を診断するタスクです。,https://paperswithcode.com/task/covid-19-detection
161,Colorectal Polyps Characterization(結腸直腸ポリープの特性評価),このタスクには説明がありません！,https://paperswithcode.com/task/colorectal-polyps-characterization
162,Colorization(着色),色付けは、画像表現を学ぶために口実として色付けに依存する自己監視アプローチです。,https://paperswithcode.com/method/colorization
163,Deblurring(デブラー),DeBluringは、画像やビデオからぼやけたアーティファクトを削除して、元のシャープなコンテンツを復元するコンピュータービジョンタスクです。,https://paperswithcode.com/task/deblurring
164,DeepFake Detection(ディープフェイク検出),DeepFake検出は、ディープラーニングテクニックを使用して生成された偽のビデオまたは画像を検出するタスクです。,https://paperswithcode.com/task/deepfake-detection
165,Depth Completion(深さ完了),深さ完了タスクは、深度推定のサブ問題です。,https://paperswithcode.com/task/depth-completion
166,Face Swapping(顔交換),フェイススワッピングとは、身体と環境の文脈の残りを維持しながら、画像間またはビデオで顔を交換するタスクを指します。,https://paperswithcode.com/task/face-swapping
167,Fairness(公平性),このタスクには説明がありません！,https://paperswithcode.com/task/fairness
168,Food Recognition(食品認識),このタスクには説明がありません！,https://paperswithcode.com/task/food-recognition
169,Graph Matching(グラフマッチング),グラフマッチングは、複雑なリレーショナル情報を保存しながら、2つの頂点間で対応を見つける問題です。,https://paperswithcode.com/task/graph-matching
170,Hyperspectral Image Classification(ハイパースペクトル画像分類),ハイパースペクトル画像分類は、リモートセンシングとコンピュータービジョンの分野でのタスクです。,https://paperswithcode.com/task/hyperspectral-image-classification
171,Image Quality Assessment(画質評価),このタスクには説明がありません！,https://paperswithcode.com/task/image-quality-assessment
172,Image-to-Text Retrieval(画像からテキストへの検索),このタスクには説明がありません！,https://paperswithcode.com/task/image-to-text-retrieval
173,Incremental Learning(増分学習),Incremental Learningは、以前に学んだタスクから学んだ知識を維持しながら、新しいデータからの新しいタスクに対処することを継続的に学習できる人工的にインテリジェントなシステムを開発することを目的としています。,https://paperswithcode.com/task/incremental-learning
174,Information Retrieval(情報検索),情報検索は、クエリに応じてドキュメントまたは検索結果のリストをランキングするタスクです,https://paperswithcode.com/task/information-retrieval
175,Language Modelling(言語モデリング),言語モデリングは、ドキュメント内の次の単語または文字を予測するタスクです。,https://paperswithcode.com/task/language-modelling
176,Learning with noisy labels(騒々しいラベルで学習します),ノイズの多いラベルで学ぶことは、「ノイズの多いラベル」と言うとき、敵が意図的にラベルを台無しにしたことを意味します。,https://paperswithcode.com/task/learning-with-noisy-labels
177,License Plate Detection(ナンバープレートの検出),ナンバープレート認識は、ナンバープレートで車両を識別するために使用される画像処理テクノロジーです。,https://paperswithcode.com/task/license-plate-detection
178,Multi-Label Image Classification(マルチラベル画像分類),マルチラベル画像分類は、各画像が複数のクラスに属する可能性のあるマルチクラス分類問題の画像のラベルの予測に焦点を当てています。,https://paperswithcode.com/task/multi-label-image-classification
179,Multiple Object Tracking(複数のオブジェクトトラッキング),複数のオブジェクト追跡は、ビデオ内の複数のオブジェクトを自動的に識別し、それらを高精度のある一連の軌跡として表す問題です。,https://paperswithcode.com/task/multiple-object-tracking
180,Node Classification(ノード分類),ノード分類は、グラフベースのデータ分析における機械学習タスクであり、目標は、ノードのプロパティとそれらの間の関係に基づいてグラフのノードにラベルを割り当てることです。,https://paperswithcode.com/task/node-classification
181,Optical Charater Recogntion(光学文字認識),このタスクには説明がありません！,https://paperswithcode.com/task/optical-charater-recogntion
182,Phrase Grounding(フレーズの接地),画像と対応するキャプションを与えられたフレーズの接地タスクは、キャプション内の名詞句で言及された各エンティティを画像内の領域に接地することを目的としています。,https://paperswithcode.com/task/phrase-grounding
183,Pose Prediction(予測のポーズ),ポーズ予測は、以前のポーズのウィンドウを考慮して、将来のポーズを予測することです。,https://paperswithcode.com/task/pose-prediction
184,Single-View 3D Reconstruction(シングルビュー3D再構成),このタスクには説明がありません！,https://paperswithcode.com/task/single-view-3d-reconstruction
185,Speech Recognition(音声認識),ナンがあります,https://paperswithcode.com/methods/category/speech-recognition
186,Temporal Action Localization(一時的なアクションローカリゼーション),一時的なアクションローカリゼーションは、ビデオストリームのアクティビティと出力の開始および終了タイムスタンプを検出することを目的としています。,https://paperswithcode.com/task/action-recognition
187,Unsupervised Image Classification(監視されていない画像分類),グラウンドトゥルースラベルを見ることなく、各画像（つまり、データセットをグラウンドトゥルースクラスにクラスター化する）を学ぶモデル。,https://paperswithcode.com/task/unsupervised-image-classification
188,Vision-Language Navigation(ビジョン言語ナビゲーション),Vision-Language Navigation（VLN）は、具体化されたエージェントをナビゲートして、実際の3D環境内で自然言語の指示を実行するタスクです。,https://paperswithcode.com/task/vision-language-navigation
189,Visual Dialog(ビジュアルダイアログ),視覚的なダイアログでは、AIエージェントが視覚コンテンツに関する自然な会話言語で人間と意味のあるダイアログを保持する必要があります。,https://paperswithcode.com/task/visual-dialogue
190,Zero-Shot Object Detection(ゼロショットオブジェクト検出),ゼロショットオブジェクト検出（ZSD）は、ターゲットオブジェクトクラスの一部で視覚的なトレーニングデータが利用できないオブジェクト検出のタスクです。,https://paperswithcode.com/task/zero-shot-object-detection
191,Zero-Shot Transfer Image Classification(ゼロショット転送画像分類),このタスクには説明がありません！,https://paperswithcode.com/task/zero-shot-transfer-image-classification
192,3D Absolute Human Pose Estimation(3D絶対人間のポーズ推定),このタスクは、絶対（カメラ中心の根相対的ではない）3Dヒトポーズ推定を解決することを目的としています。,https://paperswithcode.com/task/3d-absolute-human-pose-estimation
193,3D Human Reconstruction(3D人間の再建),このタスクには説明がありません！,https://paperswithcode.com/task/3d-human-reconstruction
194,3D Human Shape Estimation(3Dヒト形状推定),このタスクには説明がありません！,https://paperswithcode.com/task/3d-human-shape-estimation
195,Active Learning(能動的学習),ナンがあります,https://paperswithcode.com/methods/category/active-learning
196,Adversarial Defense(敵対的な防御),現在未発表の結果を伴う競争：,https://paperswithcode.com/task/adversarial-defense
197,Class-agnostic Object Detection(クラスに依存しないオブジェクト検出),クラスに依存しないオブジェクト検出は、カテゴリを指定せずに画像内のオブジェクトをローカライズすることを目的としています。,https://paperswithcode.com/task/class-agnostic-object-detection
198,Dictionary Learning(辞書学習),辞書学習は、計算神経科学、機械学習、コンピュータービジョン、画像処理まで、複数の分野で重要な問題です。,https://paperswithcode.com/task/dictionary-learning
199,Document Layout Analysis(ドキュメントレイアウト分析),「ドキュメントレイアウト分析は、ドキュメントの物理構造、つまりドキュメントコンポーネントを決定するために実行されます。これらのドキュメントコンポーネントは、単一領域を形成するために隣接するピクセルの単一接続コンポーネント - 領域[...]で構成できます[..,https://paperswithcode.com/task/document-layout-analysis
200,Emotion Recognition(感情認識),感情認識は、効果的な人間コンピューターの相互作用を可能にする研究の重要な分野です。,https://paperswithcode.com/task/emotion-recognition
201,Face Sketch Synthesis(フェイススケッチの統合),フェイススケッチの合成は、入力フェイス写真からスケッチを生成するタスクです。,https://paperswithcode.com/task/face-sketch-synthesis
202,Facial Attribute Classification(顔の属性分類),顔の属性分類は、顔のイメージのさまざまな属性を分類するタスクです。,https://paperswithcode.com/task/facial-attribute-classification
203,Few-Shot Object Detection(少ないショットオブジェクト検出),少ないショットオブジェクト検出は、限られたトレーニングデータを持つ画像のオブジェクトを検出することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/few-shot-object-detection
204,Font Recognition(フォント認識),フォント認識（Visual Font認識または光学フォント認識とも呼ばれます）は、テキストを含む画像で使用されるフォントファミリまたはファミリを識別するタスクです。,https://paperswithcode.com/task/font-recognition
205,Gait Recognition(歩行認識),（画像クレジット：Gaitset：Gaitをクロスビューゲート認識のセットと見なしてください）,https://paperswithcode.com/task/gait-recognition
206,General Classification(一般的分類),分類の一般的なタスクを解決しようとするアルゴリズム。,https://paperswithcode.com/task/classification
207,Hand Gesture Recognition(ハンドジェスチャー認識),このタスクには説明がありません！,https://paperswithcode.com/task/hand-gesture-recognition
208,Hand-Gesture Recognition(手のゼロの認識),このタスクには説明がありません！,https://paperswithcode.com/task/hand-gesture-recognition-1
209,Head Pose Estimation(ヘッドポーズの推定),人のヘッドポーズを推定することは、視線の推定を支援する、注意のモデリング、3Dモデルの適合、ビデオへの適合、顔のアライメントの実行など、大量のアプリケーションを備えた重要な問題です。,https://paperswithcode.com/task/head-pose-estimation
210,Homography Estimation(ホモグラフィーの推定),ホモグラフィーの推定は、同じシーンの2つの画像間の関係を見つけるためにコンピュータービジョンと画像処理で使用される手法ですが、異なる視点からキャプチャされます。,https://paperswithcode.com/task/homography-estimation
211,Image Deblurring(画像デブリング),このタスクには説明がありません！,https://paperswithcode.com/task/image-deblurring
212,Image-Based Localization(画像ベースのローカリゼーション),クロスビューマッチングに基づいて、GPSなしの画像の位置を決定します。,https://paperswithcode.com/task/image-based-localization
213,Intrinsic Image Decomposition(固有の画像分解),固有の画像分解とは、画像を反射率（アルベド）やシェーディング（照明）などの形成成分に分離するプロセスです。,https://paperswithcode.com/task/intrinsic-image-decomposition
214,Material Recognition(材料認識),このタスクには説明がありません！,https://paperswithcode.com/task/material-recognition
215,Meta-Learning(メタ学習),メタラーニングは、機械学習アルゴリズムを「学習する」ことで考慮される方法論です。,https://paperswithcode.com/task/meta-learning
216,Multi-Person Pose Estimation(マルチパーソンポーズ推定),マルチパーソンのポーズ推定は、1つのフレームで複数の人々のポーズを推定するタスクです。,https://paperswithcode.com/task/multi-person-pose-estimation
217,Object Proposal Generation(オブジェクト提案生成),オブジェクトプロポーザル生成は、オブジェクトの検索をガイドし、画像間の徹底的なスライディングウィンドウ検索を避けるために、現在のオブジェクト検出パイプラインで広く使用されている前処理手法です。,https://paperswithcode.com/task/object-proposal-generation
218,Outlier Detection(外れ値の検出),外れ値検出は、他のインスタンスとは異常であるという点で異常と見なされる特定のデータセットのサブセットを識別するタスクです。,https://paperswithcode.com/task/outlier-detection
219,Partial Domain Adaptation(部分的なドメインの適応),部分的なドメイン適応は転送学習パラダイムであり、関連する知識を大規模なソースドメインから小規模なターゲットドメインに転送することができます。,https://paperswithcode.com/task/partial-domain-adaptation
220,Person Search(人の検索),人の検索は、多くのシーン画像の中で特定の人を一致させることを目的とするタスクです。,https://paperswithcode.com/task/person-search
221,Personalized Federated Learning(パーソナライズされた連合学習),フェデレーションの学習セットアップは、データの不均一性（データ分布の違い）、デバイスの不均一性（計算能力、ネットワーク接続などの観点から）、通信効率など、多くの課題を提示します。,https://paperswithcode.com/task/personalized-federated-learning
222,Question Generation(質問生成),質問生成の目標は、特定の文章とターゲットの答えに従って、有効で流fluentな質問を生成することです。,https://paperswithcode.com/task/question-generation
223,RGB-D Salient Object Detection(RGB-D顕著なオブジェクト検出),RGB-D Salientオブジェクト検出（SOD）は、指定されたRGBおよび深度データのシーン内の最も視覚的に特徴的なオブジェクトまたは領域を区別することを目的としています。,https://paperswithcode.com/task/rgb-d-salient-object-detection
224,Remote Sensing Image Classification(リモートセンシング画像分類),このタスクには説明がありません！,https://paperswithcode.com/task/remote-sensing-image-classification
225,Retinal Vessel Segmentation(網膜容器セグメンテーション),網膜容器セグメンテーションは、網膜画像の容器をセグメント化するタスクです。,https://paperswithcode.com/task/retinal-vessel-segmentation
226,Self-Driving Cars(自動運転車),自動運転車：人間の指導なしで自動車を運転できる車を作るタスク。,https://paperswithcode.com/task/self-driving-cars
231,Unsupervised Video Object Segmentation(監視されていないビデオオブジェクトセグメンテーション),監視されていないシナリオは、ユーザーがアルゴリズムと対話してセグメンテーションマスクを取得しないことを前提としています。,https://paperswithcode.com/task/unsupervised-video-object-segmentation
232,Video Inpainting(ビデオインペインティング),ビデオインペインティングの目標は、特定のビデオシーケンスの欠落している領域を、空間的および時間的にコヒーレントの両方の内容を記入することです。,https://paperswithcode.com/task/video-inpainting
233,Video Segmentation(ビデオセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/video-segmentation
234,Virtual Try-on(仮想トライオン),衣類やメイクなどの衣類やその他のアイテムの仮想試行。,https://paperswithcode.com/task/virtual-try-on
235,3D Action Recognition(3Dアクション認識),画像：Rahmani et al,https://paperswithcode.com/task/3d-human-action-recognition
236,3D Face Modelling(3Dフェイスモデリング),このタスクには説明がありません！,https://paperswithcode.com/task/3d-face-modeling
237,3D Medical Imaging Segmentation(3D医療画像セグメンテーション),3D医療イメージングセグメンテーションは、3D医療イメージングから関心のある医療オブジェクトをセグメント化するタスクです。,https://paperswithcode.com/task/3d-medical-imaging-segmentation
238,3D Object Recognition(3Dオブジェクト認識),3Dオブジェクト認識は、3Dデータからオブジェクトを認識するタスクです。,https://paperswithcode.com/task/3d-object-recognition
239,3D Object Tracking(3Dオブジェクト追跡),このタスクには説明がありません！,https://paperswithcode.com/task/3d-object-tracking
240,6D Pose Estimation using RGB(RGBを使用した6Dポーズ推定),RGBを使用した6Dポーズ推定とは、RGB画像に基づいて3Dスペースの6つの宇宙（6D）ポーズを決定するタスクを指します。,https://paperswithcode.com/task/6d-pose-estimation
241,Action Segmentation(アクションセグメンテーション),アクションセグメンテーションは、高レベルのビデオ理解における困難な問題です。,https://paperswithcode.com/task/action-segmentation
242,Action Triplet Recognition(アクショントリプレット認識),対象動詞とオブジェクトの三重項としてアクションを認識します。,https://paperswithcode.com/task/action-triplet-recognition
243,Atari Games(アタリゲーム),Atari 2600 Gamesタスク（およびデータセット）には、高いゲームスコアを達成するためにエージェントをトレーニングすることが含まれます。,https://paperswithcode.com/task/atari-games
244,Binarization(バイナリゼーション),このタスクには説明がありません！,https://paperswithcode.com/task/binarization
245,Brain Tumor Segmentation(脳腫瘍のセグメンテーション),脳腫瘍のセグメンテーションは、磁気共鳴画像法（MRI）スキャンにおける正常な脳組織からの脳腫瘍の分離を含む医療画像分析タスクです。,https://paperswithcode.com/task/brain-tumor-segmentation
246,Breast Cancer Detection(乳がんの検出),このタスクには説明がありません！,https://paperswithcode.com/task/breast-cancer-detection
247,Breast Tumour Classification(乳房腫瘍分類),このタスクには説明がありません！,https://paperswithcode.com/task/breast-tumour-classification
248,Classification with Binary Weight Network(バイナリ重量ネットワークを使用した分類),このタスクには説明がありません！,https://paperswithcode.com/task/classification-with-binary-weight-network
249,Compressive Sensing(圧縮センシング),圧縮センシングは、固定線形ベースでスパース表現を持つ信号を効率的に取得および再構築するための新しい信号処理フレームワークです。,https://paperswithcode.com/task/compressive-sensing
250,Content-Based Image Retrieval(コンテンツベースの画像検索),コンテンツベースの画像検索は、コンピュータービジョンのよく研究された問題であり、検索の問題は一般にカテゴリレベルの検索とインスタンスレベルの検索の2つのグループに分かれています。,https://paperswithcode.com/task/content-based-image-retrieval
251,Coreference Resolution(コアレファレンス解像度),コアレファレンスの解決は、同じ基礎となる現実世界の実体を指すテキストでのクラスタリングの言及のタスクです。,https://paperswithcode.com/task/coreference-resolution
252,Defect Detection(欠陥検出),さまざまな製品の表面欠陥の自動検出用,https://paperswithcode.com/task/defect-detection
253,Dimensionality Reduction(次元削減),次元削減方法は、データを高次元空間から低次元空間に変換し、低次元空間が元のデータの最も重要な特性を保持するようにします。,https://paperswithcode.com/methods/category/dimensionality-reduction
254,Edge Detection(エッジ検出),エッジ検出は、画像勾配を計算して画像内のエッジの大きさと方向を定量化する基本的な画像処理手法です。,https://paperswithcode.com/task/edge-detection
255,Entity Linking(エンティティリンク),テキストに記載されているエンティティ（有名な個人、場所、企業など）にユニークなアイデンティティを割り当てる（出典：Wikipedia）。,https://paperswithcode.com/task/entity-linking
256,Explanation Generation(説明生成),このタスクには説明がありません！,https://paperswithcode.com/task/explanation-generation
257,Face Identification(顔の識別),顔の識別は、特定のフェイス画像を既存の顔のデータベースの顔画像と一致させるタスクです。,https://paperswithcode.com/task/face-identification
258,Face Parsing(顔の解析),特定の境界ボックスに基づいて、フェイス画像のピクセルを異なるクラスに分類します。,https://paperswithcode.com/task/face-parsing
259,Face Presentation Attack Detection(フェイスプレゼンテーション攻撃の検出),このタスクには説明がありません！,https://paperswithcode.com/task/face-presentation-attack-detection
260,Facial Action Unit Detection(フェイシャルアクションユニットの検出),フェイシャルアクションユニットの検出は、顔のビデオからアクションユニットを検出するタスクです。たとえば、唇の引き締めや頬の飼育です。,https://paperswithcode.com/task/facial-action-unit-detection
261,Fine-Grained Visual Categorization(細粒の視覚分類),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-visual-categorization
262,Fine-Grained Visual Recognition(細粒の視覚認識),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-visual-recognition
263,Graph Classification(グラフ分類),グラフ分類は、グラフ構造データをさまざまなクラスまたはカテゴリに分類することを含むタスクです。,https://paperswithcode.com/task/graph-classification
264,Handwritten Digit Recognition(手書きの数字認識),このタスクには説明がありません！,https://paperswithcode.com/task/handwritten-digit-recognition
265,Human Behavior Forecasting(人間の行動予測),このタスクには説明がありません！,https://paperswithcode.com/task/human-behavior-forecasting
266,Image Classification with Label Noise(ラベルノイズによる画像分類),このタスクには説明がありません！,https://paperswithcode.com/task/image-classification-with-label-noise
267,Image Compressed Sensing(画像圧縮センシング),このタスクには説明がありません！,https://paperswithcode.com/task/image-compressed-sensing
268,Image Reconstruction(画像再構成),このタスクには説明がありません！,https://paperswithcode.com/task/image-reconstruction
269,Image Stitching(画像ステッチ),画像ステッチは、狭いが重複する視野で複数の画像を作成して、より広い視野を持つより大きな画像を作成するプロセスです。,https://paperswithcode.com/task/image-stitching
270,Image-based Automatic Meter Reading(画像ベースの自動メーターの読み取り),このタスクには説明がありません！,https://paperswithcode.com/task/image-based-automatic-meter-reading
271,Imitation Learning(模倣学習),模倣学習は、デモンストレーションから行動ポリシーを学習するためのフレームワークです。,https://paperswithcode.com/task/imitation-learning
272,Interactive Segmentation(インタラクティブなセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/interactive-segmentation
273,JPEG Artifact Correction(JPEGアーティファクト補正),JPEG圧縮によって引き起こされる視覚アーティファクトの補正、これらのアーティファクトは通常、ブロッキング、ぼやけ、鳴り響きの3つのタイプにグループ化されます。,https://paperswithcode.com/task/jpeg-artifact-correction
274,Knowledge Distillation(知識の蒸留),ほぼすべての機械学習アルゴリズムのパフォーマンスを改善する非常に簡単な方法は、同じデータで多くの異なるモデルをトレーニングし、その予測を平均化することです。,https://paperswithcode.com/method/knowledge-distillation
275,Learning with coarse labels(粗いラベルで学習します),ラベルコストを大幅に削減できる、粗くラベルされたデータセットで細粒表現を学習することができます。,https://paperswithcode.com/task/learning-with-coarse-labels
276,Line Segment Detection(ラインセグメントの検出),このタスクには説明がありません！,https://paperswithcode.com/task/line-segment-detection
277,MRI Reconstruction(MRI再構成),最も基本的な形式では、MRI再構成は、サンプリングされていないフーリエ係数から複雑な値画像を取得することにあります。,https://paperswithcode.com/task/mri-reconstruction
278,Medical Image Generation(医療画像生成),医療画像生成は、新しい医療画像を統合するタスクです。,https://paperswithcode.com/task/medical-image-generation
279,Meter Reading(メーターリーディング),このタスクには説明がありません！,https://paperswithcode.com/task/meter-reading
280,Misinformation(誤報),このタスクには説明がありません！,https://paperswithcode.com/task/misinformation
281,Monocular 3D Human Pose Estimation(単眼3Dヒトポーズ推定),このタスクは、単一のRGBカメラを使用した3Dヒューマンポーズ推定をターゲットにします。,https://paperswithcode.com/task/monocular-3d-human-pose-estimation
282,Monocular Visual Odometry(単眼の視覚臭),このタスクには説明がありません！,https://paperswithcode.com/task/monocular-visual-odometry
283,Motion Forecasting(モーション予測),モーション予測は、将来追跡されたオブジェクトの位置を予測するタスクです,https://paperswithcode.com/task/motion-forecasting
284,Multi-Label Learning(マルチラベル学習),このタスクには説明がありません！,https://paperswithcode.com/task/multi-label-learning
285,Multi-Modal Document Classification(マルチモーダルドキュメント分類),このタスクには説明がありません！,https://paperswithcode.com/task/multi-modal-document-classification
286,Multimodal Activity Recognition(マルチモーダルアクティビティ認識),このタスクには説明がありません！,https://paperswithcode.com/task/multimodal-activity-recognition
287,Natural Language Understanding(自然言語の理解),自然言語理解は、テキスト分類、自然言語の推論、ストーリーの理解などのさまざまなタスクを含む自然言語処理の重要な分野です。,https://paperswithcode.com/task/natural-language-understanding
288,Network Pruning(ネットワーク剪定),ネットワークプルーニングは、重いネットワークの冗長性を削除することにより、重いネットワークを減らして軽量のフォームを取得するための一般的なアプローチです。,https://paperswithcode.com/task/network-pruning
289,Object Detection In Aerial Images(空中画像のオブジェクト検出),空中画像のオブジェクト検出は、航空画像からオブジェクトを検出するタスクです。,https://paperswithcode.com/task/object-detection-in-aerial-images
290,Open Vocabulary Object Detection(開く語彙オブジェクト検出),オープンボキャブラリー検出（OVD）は、トレーニング段階でラベル付けされた限られた数の基本クラスを超えて一般化することを目的としています。,https://paperswithcode.com/task/open-vocabulary-object-detection
291,Open World Object Detection(世界のオブジェクトの検出を開きます),オープンワールドオブジェクトの検出は、モデルに次のような任務を課されるコンピュータービジョンの問題です。1）「不明」として導入されていないオブジェクトを特定することなく、2）忘れずにこれらの特定された未知のカテゴリを段階的に学習する,https://paperswithcode.com/task/open-world-object-detection
292,Pedestrian Attribute Recognition(歩行者属性認識),歩行者の帰属認識は、電話で話しているかどうか、バックパックがあるかなど、歩行者の特徴を認識するタスクです。,https://paperswithcode.com/task/pedestrian-attribute-recognition
293,Pose Transfer(ポーズ転送),このタスクには説明がありません！,https://paperswithcode.com/task/pose-transfer
294,Recommendation Systems(推奨システム),ナンがあります,https://paperswithcode.com/methods/category/recommendation-systems
295,Referring Expression Comprehension(表現の理解を参照します),このタスクには説明がありません！,https://paperswithcode.com/task/referring-expression-comprehension
296,Referring Expression Segmentation(参照式セグメンテーション),タスクの目的は、言語式で言及されているオブジェクトインスタンスを表す画像またはビデオのピクセルにラベルを付けることを目的としています。,https://paperswithcode.com/task/referring-expression-segmentation
297,Representation Learning(表現学習),ナンがあります,https://paperswithcode.com/methods/category/representation-learning
298,Robotic Grasping(ロボット握り),このタスクは、ディープラーニングを使用して、さまざまなシナリオでロボットアームを使用してオブジェクトを把握する最善の方法を特定することで構成されています。,https://paperswithcode.com/task/robotic-grasping
299,SSIM(ssim),このタスクには説明がありません！,https://paperswithcode.com/task/ssim
300,Saliency Prediction(顕著性予測),顕著性マップは、視覚シーンでの目の固定を予測するモデルです。,https://paperswithcode.com/task/saliency-prediction
301,Scene Graph Generation(シーングラフの生成),シーングラフは、シーングラフのノードがオブジェクトカテゴリを持つオブジェクトの境界ボックスに対応し、エッジがオブジェクト間のペアワイズ関係に対応する画像の構造化された表現です。,https://paperswithcode.com/task/scene-graph-generation
302,Scene Parsing(シーンの解析),シーンの解析は、空、道路、人、ベッドなどのセマンティックカテゴリに関連するさまざまな画像領域に画像をセグメント化して解析することです。,https://paperswithcode.com/task/scene-parsing
303,Scene Segmentation(シーンセグメンテーション),シーンセグメンテーションは、シーンをさまざまなオブジェクトコンポーネントに分割するタスクです。,https://paperswithcode.com/task/scene-segmentation
304,Semi-Supervised Video Object Segmentation(半教師のビデオオブジェクトセグメンテーション),半監視されたシナリオは、ユーザーがビデオシーケンスの最初のフレームに関心のあるオブジェクトの完全なマスクを入力することを想定しています。,https://paperswithcode.com/task/semi-supervised-video-object-segmentation
305,Sentiment Analysis(感情分析),感情分析は、特定のテキストの極性を分類するタスクです。,https://paperswithcode.com/task/sentiment-analysis
306,Single Image Dehazing(単一画像の脱ヘージ),このタスクには説明がありません！,https://paperswithcode.com/task/single-image-dehazing
307,Sketch-Based Image Retrieval(スケッチベースの画像検索),このタスクには説明がありません！,https://paperswithcode.com/task/sketch-based-image-retrieval
308,Sketch-to-Image Translation(スケッチからイメージへの翻訳),このタスクには説明がありません！,https://paperswithcode.com/task/sketch-to-image-translation
309,Skin Lesion Classification(皮膚病変の分類),このタスクには説明がありません！,https://paperswithcode.com/task/skin-lesion-classification
310,Stereo Matching Hand(ステレオマッチングハンド),このタスクには説明がありません！,https://paperswithcode.com/task/stereo-matching
311,Symmetry Detection(対称性検出),このタスクには説明がありません！,https://paperswithcode.com/task/symmetry-detection
312,Table Recognition(テーブル認識),このタスクには説明がありません！,https://paperswithcode.com/task/table-recognition
314,Unsupervised Object Segmentation(監視されていないオブジェクトセグメンテーション),画像クレジット：Clevrtex：監視されていないマルチオブジェクトセグメンテーションのためのテクスチャリッチベンチマーク,https://paperswithcode.com/task/unsupervised-object-segmentation
315,Variational Inference(変分推論),ソース：,https://paperswithcode.com/method/variational-inference
316,Video Classification(ビデオ分類),ビデオ分類は、フレームを考慮してビデオに関連するラベルを作成するタスクです。,https://paperswithcode.com/task/video-classification
317,Video Retrieval(ビデオ検索),ビデオ取得の目的は次のとおりです。テキストクエリと候補ビデオのプールを与えられた場合、テキストクエリに対応するビデオを選択します。,https://paperswithcode.com/task/video-retrieval
318,Video Semantic Segmentation(ビデオセマンティックセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/video-semantic-segmentation
319,Video Super-Resolution(ビデオ超解像度),ビデオスーパー解像度は、ビデオシーケンスの解像度を増やすことを目的としたコンピュータービジョンタスクです。通常は、通常は低解像度から高解像度になります。,https://paperswithcode.com/task/video-super-resolution
320,Vision and Language Navigation(ビジョンと言語ナビゲーション),このタスクには説明がありません！,https://paperswithcode.com/task/vision-and-language-navigation
321,Visual Relationship Detection(視覚的な関係検出),視覚関係検出（VRD）は、画像内のオブジェクト間の関係や相互作用を認識することを目的とした、新しく開発されたコンピュータービジョンタスクの1つです。,https://paperswithcode.com/task/visual-relationship-detection
322,motion prediction(モーション予測),このタスクには説明がありません！,https://paperswithcode.com/task/motion-prediction
323,3D Facial Expression Recognition(3D表現認識),3D表現認識は、画像またはビデオから3Dの表情をモデル化するタスクです。,https://paperswithcode.com/task/3d-facial-expression-recognition
324,3D Human Pose Tracking(3Dヒューマンポーズ追跡),このタスクには説明がありません！,https://paperswithcode.com/task/3d-human-pose-tracking
325,3D Multi-Person Pose Estimation(3Dマルチパーソンポーズ推定),このタスクは、根相対的な3Dマルチパーソンポーズ推定を解決することを目的としています。,https://paperswithcode.com/task/3d-multi-person-pose-estimation
326,3D Object Reconstruction(3Dオブジェクトの再構成),画像：Choy et al,https://paperswithcode.com/task/3d-object-reconstruction
327,3D Point Cloud Reconstruction(3Dポイントクラウドの再構築),3Dポイント雲のエンコードと再構築。,https://paperswithcode.com/task/3d-point-cloud-reconstruction
328,Abnormal Event Detection In Video(ビデオでの異常なイベント検出),ビデオでの異常なイベントの検出は、異常なイベントがどのように見えるかの定義はコンテキストに大きく依存するため、コンピュータービジョンの挑戦的なタスクです。,https://paperswithcode.com/task/abnormal-event-detection-in-video
329,Action Detection(アクション検出),このタスクには説明がありません！,https://paperswithcode.com/task/action-detection
