idx,タスク,概要,url
155,Unsupervised Video Summarization(監視されていないビデオ要約),監視されていないビデオ要約アプローチは、トレーニングに適切に大きなオリジナルビデオのコレクションのみを必要とする学習メカニズムに基づいて、根拠の真実データ（その制作には時間を奪われたマニュアル注釈手順が必要です）の必要性を克服します。,https://paperswithcode.com/task/unsupervised-video-summarization
156,Video Anomaly Detection(ビデオ異常検出),このタスクには説明がありません！,https://paperswithcode.com/task/video-anomaly-detection
157,Video Denoising(ビデオ除去),このタスクには説明がありません！,https://paperswithcode.com/task/video-denoising
158,Video Grounding(ビデオ接地),ビデオ接地は、話し言葉の説明を特定のビデオセグメントにリンクするタスクです。,https://paperswithcode.com/task/video-grounding
159,Video Reconstruction(ビデオの再構築),出典：Deep-Slomo,https://paperswithcode.com/task/video-reconstruction
160,Video Salient Object Detection(ビデオ顕著なオブジェクトの検出),ビデオ顕著なオブジェクト検出（VSOD）は、一般的なフリービューリング中にHVSの背後にある基礎となるメカニズムを理解し、例えばビデオセグメンテーション、ビデオキャプション、ビデオ圧縮、自動運転、ロボット,https://paperswithcode.com/task/video-salient-object-detection
161,Video Semantic Segmentation(ビデオセマンティックセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/video-semantic-segmentation
162,Video-Text Retrieval(ビデオテキスト取得),ビデオテキスト検索には、ビデオと言語の両方を一緒に理解する必要があります。,https://paperswithcode.com/task/video-text-retrieval
163,Visual Keyword Spotting(ビジュアルキーワードスポッティング),サイレントトーキングフェイスビデオで特定のクエリキーワードを見つける,https://paperswithcode.com/task/visual-keyword-spotting
164,Weakly Supervised Action Localization(弱く監視されたアクションローカリゼーション),このタスクでは、トレーニングデータは、時間的な境界注釈なしでアクティビティのリストを含むビデオで構成されています。,https://paperswithcode.com/task/weakly-supervised-action-localization
165,motion prediction(モーション予測),このタスクには説明がありません！,https://paperswithcode.com/task/motion-prediction
166,3D Human Reconstruction(3D人間の再建),このタスクには説明がありません！,https://paperswithcode.com/task/3d-human-reconstruction
167,3D Lane Detection(3Dレーン検出),このタスクには説明がありません！,https://paperswithcode.com/task/3d-lane-detection
168,Accented Speech Recognition(アクセントされた音声認識),このタスクには説明がありません！,https://paperswithcode.com/task/accented-speech-recognition
169,Accident Anticipation(事故の予想),このタスクには説明がありません！,https://paperswithcode.com/task/accident-anticipation
170,Action Localization(アクションローカリゼーション),アクションローカリゼーションとは、ビデオでのアクションの空間的および時間的なコーニネートを見つけることです。,https://paperswithcode.com/task/action-localization
171,Action Parsing(アクション解析),アクション解析は、ビデオまたは静止画像を与えられたタスクであり、各フレームまたは画像をそのフレームまたは画像のアクションを説明するラベルを割り当てます。,https://paperswithcode.com/task/action-parsing
172,Action Spotting(アクションスポッティング),このタスクには説明がありません！,https://paperswithcode.com/task/action-spotting
173,Action Unit Detection(アクションユニットの検出),アクションユニットの検出は、ビデオからアクションユニットを検出するタスクです。たとえば、顔のビデオからの顔のアクションユニット（唇の引き締め、頬の上昇）の種類です。,https://paperswithcode.com/task/action-unit-detection
174,Active Learning(能動的学習),ナンがあります,https://paperswithcode.com/methods/category/active-learning
175,Active Speaker Localization(アクティブなスピーカーのローカリゼーション),アクティブスピーカーのローカリゼーション（ASL）は、オーディオ、ビジョン、またはその両方を使用して、環境でアクティブスピーカー（トーカー）を空間的にローカライズするプロセスです。,https://paperswithcode.com/task/active-speaker-localization
176,Activity Prediction(アクティビティ予測),ビデオで人間の活動を予測します,https://paperswithcode.com/task/activity-prediction
177,Activity Recognition In Videos(ビデオでのアクティビティ認識),このタスクには説明がありません！,https://paperswithcode.com/task/activity-recognition-in-videos
178,Atomic action recognition(原子作用認識),このタスクには説明がありません！,https://paperswithcode.com/task/atomic-action-recognition
179,Audio-Visual Synchronization(視聴覚同期),このタスクには説明がありません！,https://paperswithcode.com/task/audio-visual-synchronization
180,Bayesian Inference(ベイジアン推論),ベイジアン推論は、ベイズルールを使用してパラメーター（およびその完全な後方）を推定する方法論です。,https://paperswithcode.com/task/bayesian-inference
181,Boundary Detection(境界検出),境界検出は、画像にエンコードされた情報を抽出する重要な部分であり、密度、速度、圧力などを含む関心の量の計算を可能にします。,https://paperswithcode.com/task/boundary-detection
182,Class-agnostic Object Detection(クラスに依存しないオブジェクト検出),クラスに依存しないオブジェクト検出は、カテゴリを指定せずに画像内のオブジェクトをローカライズすることを目的としています。,https://paperswithcode.com/task/class-agnostic-object-detection
183,Copy Detection(コピー検出),このタスクには説明がありません！,https://paperswithcode.com/task/copy-detection
184,Denoising(除去),除去は、画像処理とコンピュータービジョンのタスクであり、画像からノイズを削除または削減することを目的としています。,https://paperswithcode.com/task/denoising
185,Dialogue Act Classification(対話法の分類),対話法の分類は、対話で提供する機能、つまりスピーカーが実行している行為に関して発話を分類するタスクです。,https://paperswithcode.com/task/dialogue-act-classification
186,Domain Generalization(ドメイン一般化),ドメイン一般化のアイデアは、1つまたは複数のトレーニングドメインから学習し、目に見えないドメインに適用できるドメインに存在するモデルを抽出することです。,https://paperswithcode.com/task/domain-generalization
187,Driver Attention Monitoring(ドライバーの注意監視),ドライバーの注意監視は、ドライバーの注意を監視するタスクです。,https://paperswithcode.com/task/driver-attention-monitoring
188,Egocentric Activity Recognition(エゴセントリックアクティビティ認識),このタスクには説明がありません！,https://paperswithcode.com/task/egocentric-activity-recognition
189,Event Detection(イベント検出),このタスクには説明がありません！,https://paperswithcode.com/task/event-detection
190,Event Segmentation(イベントセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/event-segmentation
191,Face Alignment(顔のアライメント),顔のアライメントは、デジタル画像の面の幾何学的構造を識別し、翻訳、スケール、および回転に基づいて顔の標準的なアライメントを取得しようとするタスクです。,https://paperswithcode.com/task/face-alignment
192,Face Identification(顔の識別),顔の識別は、特定のフェイス画像を既存の顔のデータベースの顔画像と一致させるタスクです。,https://paperswithcode.com/task/face-identification
193,Facial Landmark Detection(顔のランドマーク検出),フェイシャルランドマークの検出は、目、鼻、口、あごなどの顔の特定のポイントまたはランドマークを検出およびローカライズすることを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/facial-landmark-detection
194,Few Shot Temporal Action Localization(一時的なアクションローカリゼーションをショットするものはほとんどありません),少数のラベル付きサンプルを使用してアクションを検出します,https://paperswithcode.com/task/few-shot-temporal-action-localization
195,Few-Shot Learning(少数のショット学習),少数のショット学習は、メタトレーニング段階でいくつかの関連するタスクで学習者がトレーニングされているメタラーニングの例であり、メタ中に、わずかな例で目に見えない（ただし関連）タスクによく一般化できるようにします。,https://paperswithcode.com/task/few-shot-learning
196,Fine-Grained Action Detection(細粒のアクション検出),このタスクには説明がありません！,https://paperswithcode.com/task/fine-grained-action-detection
197,Gaze Estimation(視線の推定),視線の推定は、人の顔を与えられた人がどこを見ているかを予測するタスクです。,https://paperswithcode.com/task/gaze-estimation
198,Generalized Zero Shot skeletal action recognition(一般化されたゼロショット骨格アクション認識),3D骨格アクション認識のための一般化されたゼロショット学習,https://paperswithcode.com/task/generalized-zero-shot-skeletal-action
199,Genre classification(ジャンル分類),ジャンル分類は、形状、ピクセル、場所、強度などの定義された類似性に基づいて、オブジェクトをグループ化するプロセスです。,https://paperswithcode.com/task/genre-classification
200,Group Activity Recognition(グループアクティビティ認識),グループアクティビティ認識は、人のグループの集団的行動に焦点を当てた人間の活動認識問題のサブセットであり、人の個々の行動とその相互作用に起因します。,https://paperswithcode.com/task/group-activity-recognition
201,Heart rate estimation(心拍数の推定),QRS複合体からのRR間隔検出とRピーク検出,https://paperswithcode.com/task/heart-rate-estimation
202,Highlight Detection(ハイライト検出),このタスクには説明がありません！,https://paperswithcode.com/task/highlight-detection
203,Homography Estimation(ホモグラフィーの推定),ホモグラフィーの推定は、同じシーンの2つの画像間の関係を見つけるためにコンピュータービジョンと画像処理で使用される手法ですが、異なる視点からキャプチャされます。,https://paperswithcode.com/task/homography-estimation
204,Image Quality Assessment(画質評価),このタスクには説明がありません！,https://paperswithcode.com/task/image-quality-assessment
205,Image Retrieval(画像検索),画像検索は、特定のクエリ画像に似た大規模なデータベース内の画像を検索することを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/image-retrieval
206,Image Super-Resolution(画像超解像度),画像の超解像度は、多くの場合、コンテンツと詳細を可能な限り維持しながら、多くの場合4倍以上の画像の解像度を増やすことを目標とする機械学習タスクです。,https://paperswithcode.com/task/image-super-resolution
207,Interactive Segmentation(インタラクティブなセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/interactive-segmentation
208,Lip to Speech Synthesis(音声合成から唇),スピーカーの静かなビデオを与えられた場合、唇の動きに合った対応するスピーチを生成します。,https://paperswithcode.com/task/lip-to-speech-synthesis
209,Metric Learning(メトリック学習),メトリック学習の目標は、オブジェクトを埋め込み空間にマッピングする表現関数を学習することです。,https://paperswithcode.com/task/metric-learning
210,Motion Estimation(モーション推定),モーション推定は、2つのフレーム間のブロックごとまたはピクセルごとのモーションベクトルを決定するために使用されます。,https://paperswithcode.com/task/motion-estimation
211,Multi-Hypotheses 3D Human Pose Estimation(マルチハポス3Dヒューマンポーズ推定),このタスクには説明がありません！,https://paperswithcode.com/task/multi-hypotheses-3d-human-pose-estimation
212,Multi-Label Learning(マルチラベル学習),このタスクには説明がありません！,https://paperswithcode.com/task/multi-label-learning
213,Multi-Object Tracking and Segmentation(マルチオブジェクトの追跡とセグメンテーション),複数のオブジェクトの追跡とセグメンテーションには、特定のクラスのセットに属するオブジェクトを検出、追跡、およびセグメント化する必要があります。,https://paperswithcode.com/task/multi-object-tracking-and-segmentation
214,Multi-Person Pose Estimation(マルチパーソンポーズ推定),マルチパーソンのポーズ推定は、1つのフレームで複数の人々のポーズを推定するタスクです。,https://paperswithcode.com/task/multi-person-pose-estimation
215,Multi-future Trajectory Prediction(マルチフューチャー軌道予測),このタスクには説明がありません！,https://paperswithcode.com/task/multi-future-trajectory-prediction
216,Multi-object discovery(マルチオブジェクトの発見),このタスクには説明がありません！,https://paperswithcode.com/task/multi-object-discovery
217,Multimodal Deep Learning(マルチモーダルディープラーニング),マルチモーダルディープラーニングは、テキスト、画像、オーディオ、ビデオなどの複数のモダリティからの情報を組み合わせて、より正確で包括的な予測を行う一種のディープラーニングです。,https://paperswithcode.com/task/multimodal-deep-learning
218,Multimodal Emotion Recognition(マルチモーダル感情認識),これは、IEMOCAPデータセットでマルチモーダル感情認識のリーダーボードです。,https://paperswithcode.com/task/multimodal-emotion-recognition
219,Multiple Object Tracking with Transformer(トランスを使用した複数のオブジェクトトラッキング),このタスクには説明がありません！,https://paperswithcode.com/task/multiple-object-tracking-with-transformer
220,Multiple People Tracking(複数の人が追跡します),このタスクには説明がありません！,https://paperswithcode.com/task/multiple-people-tracking
221,Multiview Learning(マルチビュー学習),このタスクには説明がありません！,https://paperswithcode.com/task/multiview-learning
222,Music Information Retrieval(音楽情報検索),このタスクには説明がありません！,https://paperswithcode.com/task/music-information-retrieval
223,Natural Language Queries(自然言語クエリ),このタスクには説明がありません！,https://paperswithcode.com/task/natural-language-queries
224,Natural Language Visual Grounding(自然言語の視覚的接地),このタスクには説明がありません！,https://paperswithcode.com/task/natural-language-visual-grounding
225,Object Counting(オブジェクトカウント),オブジェクトカウントタスクの目標は、単一の画像またはビデオシーケンスでオブジェクトインスタンスの数をカウントすることです。,https://paperswithcode.com/task/object-counting
226,One-Shot 3D Action Recognition(ワンショット3Dアクション認識),このタスクには説明がありません！,https://paperswithcode.com/task/one-shot-3d-action-recognition
227,Online Action Detection(オンラインアクション検出),オンラインアクション検出は、将来ビデオフレームにアクセスすることなく、ストリーミングビデオで発生するとすぐにアクションを予測するタスクです。,https://paperswithcode.com/task/online-action-detection
228,Open World Object Detection(世界のオブジェクトの検出を開きます),オープンワールドオブジェクトの検出は、モデルに次のような任務を課されるコンピュータービジョンの問題です。1）「不明」として導入されていないオブジェクトを特定することなく、2）忘れずにこれらの特定された未知のカテゴリを段階的に学習する,https://paperswithcode.com/task/open-world-object-detection
229,Partially Relevant Video Retrieval(部分的に関連するビデオ検索),部分的に関連するビデオ検索（PRVR）タスクでは、トリミングされていないビデオが部分的に関連するW.R.T.,https://paperswithcode.com/task/partially-relevant-video-retrieval
230,Person Identification(人の識別),このタスクには説明がありません！,https://paperswithcode.com/task/person-identification
231,Pose Retrieval(ポーズ検索),画像やビデオから同様の人間のポーズの検索,https://paperswithcode.com/task/pose-retrieval
232,Real-Time Semantic Segmentation(リアルタイムセマンティックセグメンテーション),セマンティックセグメンテーションは、画像内の各ピクセルにセマンティックラベルを割り当てることを含むコンピュータービジョンタスクです。,https://paperswithcode.com/task/real-time-semantic-segmentation
233,Robot Navigation(ロボットナビゲーション),モバイルロボットナビゲーションの基本的な目的は、衝突せずにゴールポジションに到達することです。,https://paperswithcode.com/task/robot-navigation
234,Robust Object Detection(堅牢なオブジェクト検出),のベンチマーク：オブジェクト検出モデルの堅牢性腐敗と歪みを画像化する,https://paperswithcode.com/task/robust-object-detection
235,Scene Change Detection(シーンの変更検出),シーン変更検出（SCD）とは、2つのシーンが与えられた変更をローカル化し、変更カテゴリを識別するタスクを指します。,https://paperswithcode.com/task/scene-change-detection
236,Scene Text Recognition(シーンテキスト認識),このタスクのリーダーボードのシーンテキスト検出を参照してください。,https://paperswithcode.com/task/scene-text-recognition
237,Self-supervised Video Retrieval(自己教師のビデオ検索),このタスクには説明がありません！,https://paperswithcode.com/task/self-supervised-video-retrieval
238,Semantic Object Interaction Classification(セマンティックオブジェクトインタラクション分類),このタスクには説明がありません！,https://paperswithcode.com/task/semantic-object-interaction-classification
239,Semi-Supervised Action Detection(半教師のアクション検出),このタスクには説明がありません！,https://paperswithcode.com/task/semi-supervised-action-detection
240,Sentiment Analysis(感情分析),感情分析は、特定のテキストの極性を分類するタスクです。,https://paperswithcode.com/task/sentiment-analysis
241,Skills Assessment(スキル評価),このタスクには説明がありません！,https://paperswithcode.com/task/skills-assessment
242,Skills Evaluation(スキル評価),このタスクには説明がありません！,https://paperswithcode.com/task/skills-evaluation
243,Speaker Verification(スピーカーの検証),スピーカーの検証とは、声の特徴から人の身元を検証することです。,https://paperswithcode.com/task/speaker-verification
244,Speech Emotion Recognition(音声感情認識),音声感情認識は、音声処理と計算麻痺のタスクであり、話された言語で表現された感情を認識して分類することを目的としています。,https://paperswithcode.com/task/speech-emotion-recognition
245,Speech Enhancement(音声強調),ノイズからのきれいなスピーチを見積もってください,https://paperswithcode.com/methods/category/speech-enhancement
246,Steering Control(ステアリングコントロール),このタスクには説明がありません！,https://paperswithcode.com/task/steering-control
247,Stereo Matching(ステレオマッチング),ステレオマッチングは、2D画像から実世界の3D構造を回復するコンピュータービジョンのコアテクノロジーの1つです。,https://paperswithcode.com/task/stereo-matching-1
248,Surgical Gesture Recognition(外科的ジェスチャー認識),このタスクには説明がありません！,https://paperswithcode.com/task/surgical-gesture-recognition
249,Surgical tool detection(外科的ツール検出),内視鏡検査ビデオでのさまざまなクラスの手術器具の存在検出。,https://paperswithcode.com/task/surgical-tool-detection
250,Talking Face Generation(顔の生成を話す),トーキングフェイスジェネレーションは、与えられた音声セマンティクスに対応する一連のフェイス画像を合成することを目指しています,https://paperswithcode.com/task/talking-face-generation
251,Text Generation(テキスト生成),テキスト生成は、人間が作成したテキストと見分けがつかないように見えることを目指して、テキストを生成するタスクです。,https://paperswithcode.com/task/text-generation
252,Text-to-video search(テキストからビデオへの検索),このタスクには説明がありません！,https://paperswithcode.com/task/text-to-video-search
253,Thermal Infrared Object Tracking(熱赤外物質追跡),このタスクには説明がありません！,https://paperswithcode.com/task/thermal-infrared-object-tracking
254,Traffic Accident Detection(交通事故の検出),このタスクには説明がありません！,https://paperswithcode.com/task/traffic-accident-detection
255,Unsupervised 3D Human Pose Estimation(監視されていない3D人間のポーズ推定),このタスクには説明がありません！,https://paperswithcode.com/task/unsupervised-3d-human-pose-estimation
257,Unsupervised Human Pose Estimation(監視されていない人間のポーズ推定),このタスクには説明がありません！,https://paperswithcode.com/task/unsupervised-human-pose-estimation
258,Unsupervised Skeleton Based Action Recognition(監視されていないスケルトンベースのアクション認識),このタスクには説明がありません！,https://paperswithcode.com/task/unsupervised-skeleton-based-action
259,Vehicle Re-Identification(車両の再識別),車両の再識別は、複数のカメラで同じ車両を識別するタスクです。,https://paperswithcode.com/task/vehicle-re-identification
260,Video Alignment(ビデオアライメント),このタスクには説明がありません！,https://paperswithcode.com/task/video-alignment
261,Video Compression(ビデオ圧縮),ビデオ圧縮は、画像またはビデオフレーム内および複数のビデオフレームにわたって空間的および時間的冗長性を活用することにより、画像またはビデオファイルのサイズを縮小するプロセスです。,https://paperswithcode.com/task/video-compression
262,Video Emotion Recognition(ビデオ感情認識),このタスクには説明がありません！,https://paperswithcode.com/task/video-emotion-recognition
263,Video Enhancement(ビデオ強化),このタスクには説明がありません！,https://paperswithcode.com/task/video-enhancement
264,Video Matting(ビデオマット),画像クレジット：https：,https://paperswithcode.com/task/video-matting
265,Video Polyp Segmentation(ビデオポリープセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/video-polyp-segmentation
266,Video Restoration(ビデオの修復),このタスクには説明がありません！,https://paperswithcode.com/task/video-restoration
267,Video Synchronization(ビデオ同期),このタスクには説明がありません！,https://paperswithcode.com/task/video-synchronization
268,Video Visual Relation Detection(ビデオ視覚関係の検出),Video Visual Relation Detection（VIDVRD）は、視覚関係のインスタンスが、被写体とオブジェクトの軌跡を使用して、視覚関係のインスタンスが関係のトリプレット<サブジェクト、述語、オブジェクト>で表されるビデオでの視覚的関係のインスタンスを検出することを目的としています。,https://paperswithcode.com/task/video-visual-relation-detection
269,Video Visual Relation Tagging(ビデオ視覚関係のタグ付け),このタスクには説明がありません！,https://paperswithcode.com/task/video-visual-relation-tagging
270,Video-Based Person Re-Identification(ビデオベースの人の再識別),ビデオベースの人の再識別（Reid）は、複数のカメラのクエリ担当者と同じアイデンティティで人ビデオを取得することを目指しています,https://paperswithcode.com/task/video-based-person-re-identification
271,Video-to-image Affordance Grounding(ビデオから画像へのアフォーダンスの接地),デモのビデオVとターゲット画像Iを考えると、ビデオから画像へのアフォーダンスの接地の目標は、ビデオの手で脱出した領域に従ってターゲット画像のアフォーダンスヒートマップを予測し、アフォーダンスアクションを伴います（例：Press、Press、Press、,https://paperswithcode.com/task/video-to-image-affordance-grounding
272,Visual Reasoning(視覚的な推論),視覚画像に関連する行動と推論を理解する能力,https://paperswithcode.com/task/visual-reasoning
273,Weakly Supervised Action Segmentation (Transcript)(弱く監視されたアクションセグメンテーション（トランスクリプト）),弱い（トランスクリプト）監督からのアクションセグメンテーション。,https://paperswithcode.com/task/weakly-supervised-action-segmentation
274,Weakly Supervised Object Detection(監視されたオブジェクトの検出),弱く監視されたオブジェクト検出（WSOD）は、画像タグの監視のみを備えたオブジェクト検出器をトレーニングするタスクです。,https://paperswithcode.com/task/weakly-supervised-object-detection
275,Weakly Supervised Temporal Action Localization(弱く監視された時間的行動のローカリゼーション),このタスクには説明がありません！,https://paperswithcode.com/task/weakly-supervised-temporal-action-1
276,Weakly-supervised 3D Human Pose Estimation(弱く監視された3Dヒトポーズ推定),このタスクは、3Dアノテーションが少なく、3Dヒューマンポーズ推定をターゲットにします。,https://paperswithcode.com/task/weakly-supervised-3d-human-pose-estimation
277,Weather Forecasting(天気予報),気象予測は、降水、温度、圧力、風などの将来の気象条件の予測です。,https://paperswithcode.com/task/weather-forecasting
278,Zero Shot Skeletal Action Recognition(ゼロショットの骨格アクション認識),3D骨格アクション認識のゼロショット学習,https://paperswithcode.com/task/zero-shot-skeletal-action-recognition
279,Zero-Shot Action Detection(ゼロショットアクション検出),このタスクには説明がありません！,https://paperswithcode.com/task/zero-shot-action-detection
280,Zero-Shot Object Detection(ゼロショットオブジェクト検出),ゼロショットオブジェクト検出（ZSD）は、ターゲットオブジェクトクラスの一部で視覚的なトレーニングデータが利用できないオブジェクト検出のタスクです。,https://paperswithcode.com/task/zero-shot-object-detection
281,audio-visual learning(視聴覚学習),このタスクには説明がありません！,https://paperswithcode.com/task/audio-visual-learning
282,object-detection(オブジェクト検出),このタスクには説明がありません！,https://paperswithcode.com/task/object-detection-1
283,2D Semantic Segmentation task 1 (8 classes)(2Dセマンティックセグメンテーションタスク1（8クラス）),このタスクには説明がありません！,https://paperswithcode.com/task/2d-semantic-segmentation-task-1-8-classes
284,2D Semantic Segmentation task 3 (25 classes)(2Dセマンティックセグメンテーションタスク3（25クラス）),このタスクには説明がありません！,https://paperswithcode.com/task/2d-semantic-segmentation-task-3-25-classes
285,3D Anomaly Detection(3D異常検出),3Dのみの異常検出,https://paperswithcode.com/task/3d-anomaly-detection
286,3D Car Instance Understanding(3Dカーインスタンスの理解),3Dカーインスタンスの理解とは、道路上の移動または駐車車両の特性（翻訳、回転、形状など）を推定するタスクです。,https://paperswithcode.com/task/3d-car-instance-understanding
287,3D Classification(3D分類),このタスクには説明がありません！,https://paperswithcode.com/task/3d-classification
288,3D Depth Estimation(3D深度推定),画像：Monodepth2,https://paperswithcode.com/task/3d-depth-estimation
289,3D Feature Matching(3D機能マッチング),画像：Choy et al,https://paperswithcode.com/task/3d-feature-matching
290,3D Geometry Perception(3Dジオメトリの知覚),画像：Zhao et al,https://paperswithcode.com/task/3d-geometry-perception
291,3D Human Dynamics(3Dヒューマンダイナミクス),画像：Zhang et al,https://paperswithcode.com/task/3d-human-dynamics
292,3D Human Pose Tracking(3Dヒューマンポーズ追跡),このタスクには説明がありません！,https://paperswithcode.com/task/3d-human-pose-tracking
293,3D Instance Segmentation(3Dインスタンスセグメンテーション),画像：Occuseg,https://paperswithcode.com/task/3d-instance-segmentation-1
294,3D Object Classification(3Dオブジェクト分類),3Dオブジェクト分類は、3Dオブジェクトポイントクラウドのクラスを予測するタスクです。,https://paperswithcode.com/task/3d-object-classification
295,3D Object Detection From Stereo Images(ステレオ画像からの3Dオブジェクトの検出),ステレオカメラからのみ配向3D境界ボックスを推定します。,https://paperswithcode.com/task/3d-object-detection-from-stereo-images
296,3D Object Recognition(3Dオブジェクト認識),3Dオブジェクト認識は、3Dデータからオブジェクトを認識するタスクです。,https://paperswithcode.com/task/3d-object-recognition
297,3D Object Reconstruction(3Dオブジェクトの再構成),画像：Choy et al,https://paperswithcode.com/task/3d-object-reconstruction
298,3D Object Retrieval(3Dオブジェクト検索),出典：彼等,https://paperswithcode.com/task/3d-object-retrieval
299,3D Point Cloud Matching(3Dポイントクラウドマッチング),画像：Gojic et al,https://paperswithcode.com/task/3d-point-cloud-matching
300,3D Point Cloud Reconstruction(3Dポイントクラウドの再構築),3Dポイント雲のエンコードと再構築。,https://paperswithcode.com/task/3d-point-cloud-reconstruction
301,3D Scene Reconstruction(3Dシーンの再構築),従来のSFMパイプラインまたは最新のディープラーニングアプローチを使用して3Dシーンを作成します。,https://paperswithcode.com/task/3d-scene-reconstruction
302,3D Shape Reconstruction(3D形状の再構築),画像クレジット：GSNET：幾何学的およびシーン認識監督によるジョイントビークルのポーズと形状の再構築、ECCV'20,https://paperswithcode.com/task/3d-shape-reconstruction
303,3D Shape Representation(3D形状表現),画像：Meshnet,https://paperswithcode.com/task/3d-shape-representation
304,6D Pose Estimation(6Dポーズ推定),画像：Zeng et al,https://paperswithcode.com/task/6d-pose-estimation-1
305,6D Pose Estimation using RGB(RGBを使用した6Dポーズ推定),RGBを使用した6Dポーズ推定とは、RGB画像に基づいて3Dスペースの6つの宇宙（6D）ポーズを決定するタスクを指します。,https://paperswithcode.com/task/6d-pose-estimation
306,6D Pose Estimation using RGBD(RGBDを使用した6Dポーズ推定),画像：Zeng et al,https://paperswithcode.com/task/6d-pose-estimation-using-rgbd
307,Abstractive Text Summarization(抽象的なテキストの要約),抽象的なテキストの要約は、ソーステキストの顕著なアイデアをキャプチャする短く簡潔な要約を生成するタスクです。,https://paperswithcode.com/task/abstractive-text-summarization
308,Active Object Detection(アクティブオブジェクト検出),オブジェクト検出のためのアクティブ学習,https://paperswithcode.com/task/active-object-detection
309,Activeness Detection(アクティブネス検出),画像を介して活性化を決定します,https://paperswithcode.com/task/activeness-detection
310,Aesthetics Quality Assessment(美学の品質評価),美的関連の主観的評価の自動評価。,https://paperswithcode.com/task/aesthetics-quality-assessment
311,Age Estimation(年齢の推定),年齢の推定は、画像から人の年齢を他の種類のデータから推定するタスクです。,https://paperswithcode.com/task/age-estimation
312,Amodal Instance Segmentation(アモーダルインスタンスセグメンテーション),可視領域のみに焦点を当てた従来のセグメンテーションとは異なり、Amodalインスタンスセグメンテーションは、オブジェクトインスタンスの閉塞部分も予測します。,https://paperswithcode.com/task/amodal-instance-segmentation
313,Amodal Panoptic Segmentation(アモダルパノプティックセグメンテーション),このタスクの目標は、スタッフクラスの可視領域のピクセルごとのセマンティックセグメンテーションラベルと、目に見える領域とオクルドクラスの両方のインスタンスセグメンテーションラベルを同時に予測することです。,https://paperswithcode.com/task/amodal-panoptic-segmentation
314,Animal Action Recognition(動物の行動認識),クロス種（クラス内、クラス間）アクション認識,https://paperswithcode.com/task/animal-action-recognition
315,Animal Pose Estimation(動物のポーズ推定),動物のポーズ推定は、動物のポーズを特定するタスクです。,https://paperswithcode.com/task/animal-pose-estimation
316,Anxiety Detection(不安検出),人間の不安苦痛を検出します,https://paperswithcode.com/task/anxiety-detection
317,Arousal Estimation(覚醒推定),このタスクには説明がありません！,https://paperswithcode.com/task/arousal-estimation
318,Atari Games(アタリゲーム),Atari 2600 Gamesタスク（およびデータセット）には、高いゲームスコアを達成するためにエージェントをトレーニングすることが含まれます。,https://paperswithcode.com/task/atari-games
319,Audio Emotion Recognition(オーディオ感情認識),このタスクには説明がありません！,https://paperswithcode.com/task/audio-emotion-recognition
320,Audio Generation(オーディオ生成),オーディオ生成（合成）は、音声などの生のオーディオを生成するタスクです。,https://paperswithcode.com/task/audio-generation
321,Audio Source Separation(オーディオソース分離),オーディオソースの分離とは、混合物（ポップバンドの録音など）を個々のソース（たとえば、リードボーカルのみ）から孤立したサウンドに分離するプロセスです。,https://paperswithcode.com/task/audio-source-separation
322,Audio-Visual Active Speaker Detection(視聴覚アクティブスピーカー検出),ビデオ内のそれぞれの目に見える人が話しているかどうかを決定します。,https://paperswithcode.com/task/audio-visual-active-speaker-detection
323,Audio-visual Question Answering(オーディオ視聴覚的な質問応答),このタスクには説明がありません！,https://paperswithcode.com/task/audio-visual-question-answering
324,Automatic Speech Recognition (ASR)(自動音声認識（ASR）),自動音声認識（ASR）には、話し言葉を書かれたテキストに変換することが含まれます。,https://paperswithcode.com/task/automatic-speech-recognition
325,Behavioral Malware Detection(行動マルウェア検出),このタスクには説明がありません！,https://paperswithcode.com/task/behavioral-malware-detection
326,Binarization(バイナリゼーション),このタスクには説明がありません！,https://paperswithcode.com/task/binarization
327,Blind Image Quality Assessment(盲目の画像品質評価),このタスクには説明がありません！,https://paperswithcode.com/task/blind-image-quality-assessment
328,Boundary Captioning(境界キャプション),ビデオ内の境界のタイムスタンプが付属しているため、マシンは、境界でのステータスの変更を説明する文を生成するために必要です。,https://paperswithcode.com/task/boundary-captioning
329,Boundary Grounding(境界接地),ビデオ内の境界の説明が付属しているため、マシンはビデオ内のその境界を見つけるために必要です。,https://paperswithcode.com/task/boundary-grounding
330,Box-supervised Instance Segmentation(ボックススーパービズされたインスタンスセグメンテーション),このタスクは、弱く境界のあるボックスアノテーションでインスタンスセグメンテーションを実現することを目的としています。,https://paperswithcode.com/task/box-supervised-instance-segmentation
331,Breast Cancer Detection(乳がんの検出),このタスクには説明がありません！,https://paperswithcode.com/task/breast-cancer-detection
332,Breast Tumour Classification(乳房腫瘍分類),このタスクには説明がありません！,https://paperswithcode.com/task/breast-tumour-classification
