task,script,url
Image Generation,"Image Generation (synthesis) is the task of generating new images from an existing dataset.
Unconditional generation refers to generating samples unconditionally from the dataset, i.e.
p
(
y
)
Conditional image generation (subtask) refers to generating samples conditionally from the dataset, based on a label, i.e.
p
(
y
|
x
)
.
In this section, you can find state-of-the-art leaderboards for unconditional generation. For conditional generation, and other types of image generations, refer to the subtasks.
( Image credit: StyleGAN )",https://paperswithcode.com/task/image-generation
Interactive Video Object Segmentation,"The interactive scenario assumes the user gives iterative refinement inputs to the algorithm, in our case in the form of a scribble, to segment the objects of interest. Methods have to produce a segmentation mask for that object in all the frames of a video sequence taking into account all the user interactions.",https://paperswithcode.com/task/interactive-video-object-segmentation
Lane Detection,"Lane Detection is a computer vision task that involves identifying the boundaries of driving lanes in a video or image of a road scene. The goal is to accurately locate and track the lane markings in real-time, even in challenging conditions such as poor lighting, glare, or complex road layouts.
Lane detection is an important component of advanced driver assistance systems (ADAS) and autonomous vehicles, as it provides information about the road layout and the position of the vehicle within the lane, which is crucial for navigation and safety. The algorithms typically use a combination of computer vision techniques, such as edge detection, color filtering, and Hough transforms, to identify and track the lane markings in a road scene.
( Image credit: End-to-end Lane Detection )",https://paperswithcode.com/task/lane-detection
Lip Reading,"Lip Reading is a task to infer the speech content in a video by using only the visual information, especially the lip movements. It has many crucial applications in practice, such as assisting audio-based speech recognition, biometric authentication and aiding hearing-impaired people.
Source: Mutual Information Maximization for Effective Lip Reading",https://paperswithcode.com/task/lip-reading
Moment Retrieval,"Moment retrieval can de defined as the task of ""localizing moments in a video given a user query"".
Description from: QVHIGHLIGHTS: Detecting Moments and Highlights in Videos via Natural Language Queries
Image credit: QVHIGHLIGHTS: Detecting Moments and Highlights in Videos via Natural Language Queries",https://paperswithcode.com/task/moment-retrieval
Motion Segmentation,"Motion Segmentation is an essential task in many applications in Computer Vision and Robotics, such as surveillance, action recognition and scene understanding. The classic way to state the problem is the following: given a set of feature points that are tracked through a sequence of images, the goal is to cluster those trajectories according to the different motions they belong to. It is assumed that the scene contains multiple objects that are moving rigidly and independently in 3D-space.
Source: Robust Motion Segmentation from Pairwise Matches",https://paperswithcode.com/task/motion-segmentation
Novel View Synthesis,"Synthesize a target image with an arbitrary target camera pose from given source images and their camera poses.
( Image credit: Multi-view to Novel view: Synthesizing novel views with Self-Learned Confidence )",https://paperswithcode.com/task/novel-view-synthesis
Person Search,"Person Search is a task which aims at matching a specific person among a great number of whole scene images.
Source: Re-ID Driven Localization Refinement for Person Search",https://paperswithcode.com/task/person-search
Pose Tracking,"Pose Tracking is the task of estimating multi-person human poses in videos and assigning unique instance IDs for each keypoint across frames. Accurate estimation of human keypoint-trajectories is useful for human action recognition, human interaction understanding, motion capture and animation.
Source: LightTrack: A Generic Framework for Online Top-Down Human Pose Tracking",https://paperswithcode.com/task/pose-tracking
Real-Time Object Detection,"Real-Time Object Detection is a computer vision task that involves identifying and locating objects of interest in real-time video sequences with fast inference while maintaining a base level of accuracy.
This is typically solved using algorithms that combine object detection and tracking techniques to accurately detect and track objects in real-time. They use a combination of feature extraction, object proposal generation, and classification to detect and localize objects of interest.
( Image credit: CenterNet )",https://paperswithcode.com/task/real-time-object-detection
Self-Supervised Action Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/self-supervised-action-recognition
Temporal Action Proposal Generation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/temporal-action-proposal-generation
Video Description,"The goal of automatic Video Description is to tell a story about events happening in a video. While early Video Description methods produced captions for short clips that were manually segmented to contain a single event of interest, more recently dense video captioning has been proposed to both segment distinct events in time and describe them in a series of coherent sentences. This problem is a generalization of dense image region captioning and has many practical applications, such as generating textual summaries for the visually impaired, or detecting and describing important events in surveillance footage.
Source: Joint Event Detection and Description in Continuous Video Streams",https://paperswithcode.com/task/video-description
Visual Speech Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/visual-speech-recognition
3D Absolute Human Pose Estimation,"This task aims to solve absolute (camera-centric not root-relative) 3D human pose estimation.
( Image credit: RootNet )",https://paperswithcode.com/task/3d-absolute-human-pose-estimation
Abnormal Event Detection In Video,"Abnormal Event Detection In Video is a challenging task in computer vision, as the definition of what an abnormal event looks like depends very much on the context. For instance, a car driving by on the street is regarded as a normal event, but if the car enters a pedestrian area, this is regarded as an abnormal event. A person running on a sports court (normal event) versus running outside from a bank (abnormal event) is another example. Although what is considered abnormal depends on the context, we can generally agree that abnormal events should be unexpected events that occur less often than familiar (normal) events
Source: Unmasking the abnormal events in video
Image: Ravanbakhsh et al",https://paperswithcode.com/task/abnormal-event-detection-in-video
Autonomous Vehicles,"Autonomous vehicles is the task of making a vehicle that can guide itself without human conduction.
Many of the state-of-the-art results can be found at more general task pages such as 3D Object Detection and Semantic Segmentation.
( Image credit: GSNet: Joint Vehicle Pose and Shape Reconstruction with Geometrical and Scene-aware Supervision )",https://paperswithcode.com/task/autonomous-vehicles
Camera shot boundary detection,"The objective of camera shot boundary detection is to find the transitions between the camera shots in a video and classify the type of camera transition. This task is introduced in SoccerNet-v2, where 3 types of transitions are considered (abrupt, logo, smooth).",https://paperswithcode.com/task/camera-shot-boundary-detection
Classification,"Classification is the task of categorizing a set of data into predefined classes or groups. The aim of classification is to train a model to correctly predict the class or group of new, unseen data. The model is trained on a labeled dataset where each instance is assigned a class label. The learning algorithm then builds a mapping between the features of the data and the class labels. This mapping is then used to predict the class label of new, unseen data points. The quality of the prediction is usually evaluated using metrics such as accuracy, precision, and recall.",https://paperswithcode.com/task/classification-1
Dialect Identification,Dialectal Arabic Identification,https://paperswithcode.com/task/dialect-identification
Early Action Prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/early-action-prediction
Face Presentation Attack Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/face-presentation-attack-detection
Facial Action Unit Detection,"Facial action unit detection is the task of detecting action units from a video of a face - for example, lip tightening and cheek raising.
( Image credit: Self-supervised Representation Learning from Videos for Facial Action Unit Detection )",https://paperswithcode.com/task/facial-action-unit-detection
Facial Emotion Recognition,Emotion Recognition from facial images,https://paperswithcode.com/task/facial-emotion-recognition
Few Shot Action Recognition,"Few-shot (FS) action recognition is a challenging com- puter vision problem, where the task is to classify an unlabelled query video into one of the action categories in the support set having limited samples per action class.",https://paperswithcode.com/task/few-shot-action-recognition
Gait Recognition,( Image credit: GaitSet: Regarding Gait as a Set for Cross-View Gait Recognition ),https://paperswithcode.com/task/gait-recognition
Human Behavior Forecasting,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/human-behavior-forecasting
Human Interaction Recognition,"Human Interaction Recognition (HIR) is a field of study that involves the development of computer algorithms to detect and recognize human interactions in videos, images, or other multimedia content. The goal of HIR is to automatically identify and analyze the social interactions between people, their body language, and facial expressions.",https://paperswithcode.com/task/human-interaction-recognition
Human Pose Forecasting,"Human pose forecasting is the task of detecting and predicting future human poses.
( Image credit: EgoPose )",https://paperswithcode.com/task/human-pose-forecasting
Image Inpainting,"Image Inpainting is a task of reconstructing missing regions in an image. It is an important problem in computer vision and an essential functionality in many imaging and graphics applications, e.g. object removal, image restoration, manipulation, re-targeting, compositing, and image-based rendering.
Source: High-Resolution Image Inpainting with Iterative Confidence Feedback and Guided Upsampling
Image source: High-Resolution Image Inpainting with Iterative Confidence Feedback and Guided Upsampling",https://paperswithcode.com/task/image-inpainting
Medical Image Segmentation,"Medical Image Segmentation is a computer vision task that involves dividing an medical image into multiple segments, where each segment represents a different object or structure of interest in the image. The goal of medical image segmentation is to provide a precise and accurate representation of the objects of interest within the image, typically for the purpose of diagnosis, treatment planning, and quantitative analysis.
( Image credit: IVD-Net )",https://paperswithcode.com/task/medical-image-segmentation
Monocular Depth Estimation,"Monocular Depth Estimation is the task of estimating the depth value (distance relative to the camera) of each pixel given a single (monocular) RGB image. This challenging task is a key prerequisite for determining scene understanding for applications such as 3D scene reconstruction, autonomous driving, and AR. State-of-the-art methods usually fall into one of two categories: designing a complex network that is powerful enough to directly regress the depth map, or splitting the input into bins or windows to reduce computational complexity. The most popular benchmarks are the KITTI and NYUv2 datasets. Models are typically evaluated using RMSE or absolute relative error.
Source: Defocus Deblurring Using Dual-Pixel Data",https://paperswithcode.com/task/monocular-depth-estimation
Motion Forecasting,Motion forecasting is the task of predicting the location of a tracked object in the future,https://paperswithcode.com/task/motion-forecasting
Multi-Label Classification,"Multi-Label Classification is the supervised learning problem where an instance may be associated with multiple labels. This is an extension of single-label classification (i.e., multi-class, or binary) where each instance is only associated with a single class label.
Source: Deep Learning for Multi-label Classification",https://paperswithcode.com/task/multi-label-classification
Multimodal Sentiment Analysis,"Multimodal sentiment analysis is the task of performing sentiment analysis with multiple data sources - e.g. a camera feed of someone's face and their recorded speech.
( Image credit: ICON: Interactive Conversational Memory Network for Multimodal Emotion Detection )",https://paperswithcode.com/task/multimodal-sentiment-analysis
Multiple Instance Learning,"Multiple Instance Learning is a type of weakly supervised learning algorithm where training data is arranged in bags, where each bag contains a set of instances
X
=
{
x
1
,
x
2
,
…
,
x
M
}
, and there is one single label
Y
per bag,
Y
∈
{
0
,
1
}
in the case of a binary classification problem. It is assumed that individual labels
y
1
,
y
2
,
…
,
y
M
exist for the instances within a bag, but they are unknown during training. In the standard Multiple Instance assumption, a bag is considered negative if all its instances are negative. On the other hand, a bag is positive, if at least one instance in the bag is positive.
Source: Monte-Carlo Sampling applied to Multiple Instance Learning for Histological Image Classification",https://paperswithcode.com/task/multiple-instance-learning
Natural Language Moment Retrieval,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/natural-language-moment-retrieval
Panoptic Segmentation,"Panoptic Segmentation is a computer vision task that combines semantic segmentation and instance segmentation to provide a comprehensive understanding of the scene. The goal of panoptic segmentation is to segment the image into semantically meaningful parts or regions, while also detecting and distinguishing individual instances of objects within those regions.
( Image credit: Detectron2 )",https://paperswithcode.com/task/panoptic-segmentation
Pedestrian Detection,"Pedestrian detection is the task of detecting pedestrians from a camera.
Further state-of-the-art results (e.g. on the KITTI dataset) can be found at 3D Object Detection.
( Image credit: High-level Semantic Feature Detection: A New Perspective for Pedestrian Detection )",https://paperswithcode.com/task/pedestrian-detection
Pose Prediction,Pose prediction is to predict future poses given a window of previous poses.,https://paperswithcode.com/task/pose-prediction
Quantization,"Quantization is a promising technique to reduce the computation cost of neural network training, which can replace high-cost floating-point numbers (e.g., float32) with low-cost fixed-point numbers (e.g., int8/int16).
Source: Adaptive Precision Training: Quantify Back Propagation in Neural Networks with Fixed-point Numbers",https://paperswithcode.com/task/quantization
Real-Time Multi-Object Tracking,Online and Real-time Multi-Object Tracking would achieve the real-time speed over 30 frames per second with online approach.,https://paperswithcode.com/task/real-time-multi-object-tracking
Referring Expression Segmentation,"The task aims at labeling the pixels of an image or video that represent an object instance referred by a linguistic expression. In particular, the referring expression (RE) must allow the identification of an individual object in a discourse or scene (the referent). REs unambiguously identify the target instance.",https://paperswithcode.com/task/referring-expression-segmentation
Small Object Detection,"Small Object Detection is a computer vision task that involves detecting and localizing small objects in images or videos. This task is challenging due to the small size and low resolution of the objects, as well as other factors such as occlusion, background clutter, and variations in lighting conditions.
( Image credit: Feature-Fused SSD )",https://paperswithcode.com/task/small-object-detection
Speech Separation,"The task of extracting all overlapping speech sources in a given mixed speech signal refers to the Speech Separation. Speech Separation is a special scenario of source separation problem, where the focus is only on the overlapping speech signal sources and other interferences such as music or noise signals are not the main concern of the study.
Source: A Unified Framework for Speech Separation
Image credit: Speech Separation of A Target Speaker Based on Deep Neural Networks",https://paperswithcode.com/task/speech-separation
Supervised Video Summarization,"Supervised video summarization rely on datasets with human-labeled ground-truth annotations (either in the form of video summaries, as in the case of the SumMe dataset, or in the form of frame-level importance scores, as in the case of the TVSum dataset), based on which they try to discover the underlying criterion for video frame/fragment selection and video summarization.
Source: Video Summarization Using Deep Neural Networks: A Survey",https://paperswithcode.com/task/supervised-video-summarization
Text to Video Retrieval,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/text-to-video-retrieval
Text-to-Video Generation,This task refers to video generation based on a given sentence or sequence of words.,https://paperswithcode.com/task/text-to-video-generation
Trajectory Forecasting,"Trajectory forecasting is a sequential prediction task, where a forecasting model predicts future trajectories of all moving agents (humans, vehicles, etc.) in a scene, based on their past trajectories and/or the scene context.
(Illustrative figure from Social NCE: Contrastive Learning of Socially-aware Motion Representations)",https://paperswithcode.com/task/trajectory-forecasting
Unconstrained Lip-synchronization,"Given a video of an arbitrary person, and an arbitrary driving speech, the task is to generate a lip-synced video that matches the given speech.
This task requires the approach to not be constrained by identity, voice, or language.",https://paperswithcode.com/task/lip-sync
Unsupervised Person Re-Identification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/unsupervised-person-re-identification
Unsupervised Video Summarization,"Unsupervised video summarization approaches overcome the need for ground-truth data (whose production requires time-demanding and laborious manual annotation procedures), based on learning mechanisms that require only an adequately large collection of original videos for their training. Specifically, the training is based on heuristic rules, like the sparsity, the representativeness, and the diversity of the utilized input features/characteristics.",https://paperswithcode.com/task/unsupervised-video-summarization
Video Anomaly Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-anomaly-detection
Video Denoising,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-denoising
Video Grounding,"Video grounding is the task of linking spoken language descriptions to specific video segments. In video grounding, the model is given a video and a natural language description, such as a sentence or a caption, and its goal is to identify the specific segment of the video that corresponds to the description. This can involve tasks such as localizing the objects or actions mentioned in the description within the video, or associating a specific time interval with the description.",https://paperswithcode.com/task/video-grounding
Video Reconstruction,Source: Deep-SloMo,https://paperswithcode.com/task/video-reconstruction
Video Salient Object Detection,"Video salient object detection (VSOD) is significantly essential for understanding the underlying mechanism behind HVS during free-viewing in general and instrumental to a wide range of real-world applications, e.g., video segmentation, video captioning, video compression, autonomous driving, robotic interaction, weakly supervised attention. Besides its academic value and practical significance, VSOD presents great difficulties due to the challenges carried by video data (diverse motion patterns, occlusions, blur, large object deformations, etc.) and the inherent complexity of human visual attention behavior (i.e., selective attention allocation, attention shift) during dynamic scenes. Online benchmark: http://dpfan.net/davsod.
( Image credit: Shifting More Attention to Video Salient Object Detection, CVPR2019-Best Paper Finalist )",https://paperswithcode.com/task/video-salient-object-detection
Video Semantic Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/video-semantic-segmentation
Video-Text Retrieval,Video-Text retrieval requires understanding of both video and language together. Therefore it's different to video retrieval task.,https://paperswithcode.com/task/video-text-retrieval
Visual Keyword Spotting,Spot a given query keyword in a silent talking face video,https://paperswithcode.com/task/visual-keyword-spotting
Weakly Supervised Action Localization,"In this task, the training data consists of videos with a list of activities in them without any temporal boundary annotations. However, while testing, given a video, the algorithm should recognize the activities in the video and also provide the start and end time.",https://paperswithcode.com/task/weakly-supervised-action-localization
motion prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/motion-prediction
3D Human Reconstruction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/3d-human-reconstruction
3D Lane Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/3d-lane-detection
Accented Speech Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/accented-speech-recognition
Accident Anticipation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/accident-anticipation
Action Localization,"Action Localization is finding the spatial and temporal co ordinates for an action in a video. An action localization model will identify which frame an action start and ends in video and return the x,y coordinates of an action. Further the co ordinates will change when the object performing action undergoes a displacement.",https://paperswithcode.com/task/action-localization
Action Parsing,"Action parsing is the task of, given a video or still image, assigning each frame or image a label describing the action in that frame or image.",https://paperswithcode.com/task/action-parsing
Action Spotting,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/action-spotting
Action Unit Detection,"Action unit detection is the task of detecting action units from a video - for example, types of facial action units (lip tightening, cheek raising) from a video of a face.
( Image credit: AU R-CNN )",https://paperswithcode.com/task/action-unit-detection
Active Learning,,https://paperswithcode.com/methods/category/active-learning
Active Speaker Localization,"Active Speaker Localization (ASL) is the process of spatially localizing an active speaker (talker) in an environment using either audio, vision or both.",https://paperswithcode.com/task/active-speaker-localization
Activity Prediction,Predict human activities in videos,https://paperswithcode.com/task/activity-prediction
Activity Recognition In Videos,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/activity-recognition-in-videos
Atomic action recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/atomic-action-recognition
Audio-Visual Synchronization,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/audio-visual-synchronization
Bayesian Inference,Bayesian Inference is a methodology that employs Bayes Rule to estimate parameters (and their full posterior).,https://paperswithcode.com/task/bayesian-inference
Boundary Detection,"Boundary Detection is a vital part of extracting information encoded in images, allowing for the computation of quantities of interest including density, velocity, pressure, etc.
Source: A Locally Adapting Technique for Boundary Detection using Image Segmentation",https://paperswithcode.com/task/boundary-detection
Class-agnostic Object Detection,Class-agnostic object detection aims to localize objects in images without specifying their categories.,https://paperswithcode.com/task/class-agnostic-object-detection
Copy Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/copy-detection
Denoising,"Denoising is a task in image processing and computer vision that aims to remove or reduce noise from an image. Noise can be introduced into an image due to various reasons, such as camera sensor limitations, lighting conditions, and compression artifacts. The goal of denoising is to recover the original image, which is considered to be noise-free, from a noisy observation.
( Image credit: Beyond a Gaussian Denoiser )",https://paperswithcode.com/task/denoising
Dialogue Act Classification,"Dialogue act classification is the task of classifying an utterance with respect to the function it serves in a dialogue, i.e. the act the speaker is performing. Dialogue acts are a type of speech acts (for Speech Act Theory, see Austin (1975) and Searle (1969)).",https://paperswithcode.com/task/dialogue-act-classification
Domain Generalization,"The idea of Domain Generalization is to learn from one or multiple training domains, to extract a domain-agnostic model which can be applied to an unseen domain
Source: Diagram Image Retrieval using Sketch-Based Deep Learning and Transfer Learning",https://paperswithcode.com/task/domain-generalization
Driver Attention Monitoring,"Driver attention monitoring is the task of monitoring the attention of a driver.
( Image credit: Predicting Driver Attention in Critical Situations )",https://paperswithcode.com/task/driver-attention-monitoring
Egocentric Activity Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/egocentric-activity-recognition
Event Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/event-detection
Event Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/event-segmentation
Face Alignment,"Face alignment is the task of identifying the geometric structure of faces in digital images, and attempting to obtain a canonical alignment of the face based on translation, scale, and rotation.
( Image credit: 3DDFA_V2 )",https://paperswithcode.com/task/face-alignment
Face Identification,Face identification is the task of matching a given face image to one in an existing database of faces. It is the second part of face recognition (the first part being detection). It is a one-to-many mapping: you have to find an unknown person in a database to find who that person is.,https://paperswithcode.com/task/face-identification
Facial Landmark Detection,"Facial Landmark Detection is a computer vision task that involves detecting and localizing specific points or landmarks on a face, such as the eyes, nose, mouth, and chin. The goal is to accurately identify these landmarks in images or videos of faces in real-time and use them for various applications, such as face recognition, facial expression analysis, and head pose estimation.
( Image credit: Style Aggregated Network for Facial Landmark Detection )",https://paperswithcode.com/task/facial-landmark-detection
Few Shot Temporal Action Localization,Detect Action using few labeled samples,https://paperswithcode.com/task/few-shot-temporal-action-localization
Few-Shot Learning,"Few-Shot Learning is an example of meta-learning, where a learner is trained on several related tasks, during the meta-training phase, so that it can generalize well to unseen (but related) tasks with just few examples, during the meta-testing phase. An effective approach to the Few-Shot Learning problem is to learn a common representation for various tasks and train task specific classifiers on top of this representation.
Source: Penalty Method for Inversion-Free Deep Bilevel Optimization",https://paperswithcode.com/task/few-shot-learning
Fine-Grained Action Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/fine-grained-action-detection
Gaze Estimation,"Gaze Estimation is a task to predict where a person is looking at given the person’s full face. The task contains two directions: 3-D gaze vector and 2-D gaze position estimation. 3-D gaze vector estimation is to predict the gaze vector, which is usually used in the automotive safety. 2-D gaze position estimation is to predict the horizontal and vertical coordinates on a 2-D screen, which allows utilizing gaze point to control a cursor for human-machine interaction.
Source: A Generalized and Robust Method Towards Practical Gaze Estimation on Smart Phone",https://paperswithcode.com/task/gaze-estimation
Generalized Zero Shot skeletal action recognition,Generalized Zero Shot Learning for 3d Skeletal Action Recognition,https://paperswithcode.com/task/generalized-zero-shot-skeletal-action
Genre classification,"Genre classification is the process of grouping objects together based on defined similarities such as shape, pixel, location, or intensity.",https://paperswithcode.com/task/genre-classification
Group Activity Recognition,"Group Activity Recognition is a subset of human activity recognition problem which focuses on the collective behavior of a group of people, resulted from the individual actions of the persons and their interactions. Collective activity recognition is a basic task for automatic human behavior analysis in many areas like surveillance or sports videos.
Source: A Multi-Stream Convolutional Neural Network Framework for Group Activity Recognition",https://paperswithcode.com/task/group-activity-recognition
Heart rate estimation,RR interval detection and R peak detection from QRS complex,https://paperswithcode.com/task/heart-rate-estimation
Highlight Detection,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/highlight-detection
Homography Estimation,"Homography estimation is a technique used in computer vision and image processing to find the relationship between two images of the same scene, but captured from different viewpoints. It is used to align images, correct for perspective distortions, or perform image stitching. In order to estimate the homography, a set of corresponding points between the two images must be found, and a mathematical model must be fit to these points. There are various algorithms and techniques that can be used to perform homography estimation, including direct methods, RANSAC, and machine learning-based approaches.",https://paperswithcode.com/task/homography-estimation
Image Quality Assessment,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/image-quality-assessment
Image Retrieval,"Image Retrieval is a computer vision task that involves searching for images in a large database that are similar to a given query image. The goal of image retrieval is to enable users to find images that match their interests or needs, based on visual similarity or other criteria.
( Image credit: DELF )",https://paperswithcode.com/task/image-retrieval
Image Super-Resolution,"Image Super-Resolution is a machine learning task where the goal is to increase the resolution of an image, often by a factor of 4x or more, while maintaining its content and details as much as possible. The end result is a high-resolution version of the original image. This task can be used for various applications such as improving image quality, enhancing visual detail, and increasing the accuracy of computer vision algorithms.",https://paperswithcode.com/task/image-super-resolution
Interactive Segmentation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/interactive-segmentation
Lip to Speech Synthesis,"Given a silent video of a speaker, generate the corresponding speech that matches the lip movements.",https://paperswithcode.com/task/lip-to-speech-synthesis
Metric Learning,"The goal of Metric Learning is to learn a representation function that maps objects into an embedded space. The distance in the embedded space should preserve the objects’ similarity — similar objects get close and dissimilar objects get far away. Various loss functions have been developed for Metric Learning. For example, the contrastive loss guides the objects from the same class to be mapped to the same point and those from different classes to be mapped to different points whose distances are larger than a margin. Triplet loss is also popular, which requires the distance between the anchor sample and the positive sample to be smaller than the distance between the anchor sample and the negative sample.
Source: Road Network Metric Learning for Estimated Time of Arrival",https://paperswithcode.com/task/metric-learning
Motion Estimation,"Motion Estimation is used to determine the block-wise or pixel-wise motion vectors between two frames.
Source: MEMC-Net: Motion Estimation and Motion Compensation Driven Neural Network for Video Interpolation and Enhancement",https://paperswithcode.com/task/motion-estimation
Multi-Hypotheses 3D Human Pose Estimation,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-hypotheses-3d-human-pose-estimation
Multi-Label Learning,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-label-learning
Multi-Object Tracking and Segmentation,"Multiple object tracking and segmentation requires detecting, tracking, and segmenting objects belonging to a set of given classes.
(Image and definition credit: Prototypical Cross-Attention Networks for Multiple Object Tracking and Segmentation, NeurIPS 2021, Spotlight )",https://paperswithcode.com/task/multi-object-tracking-and-segmentation
Multi-Person Pose Estimation,"Multi-person pose estimation is the task of estimating the pose of multiple people in one frame.
( Image credit: Human Pose Estimation with TensorFlow )",https://paperswithcode.com/task/multi-person-pose-estimation
Multi-future Trajectory Prediction,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-future-trajectory-prediction
Multi-object discovery,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multi-object-discovery
Multimodal Deep Learning,"Multimodal deep learning is a type of deep learning that combines information from multiple modalities, such as text, image, audio, and video, to make more accurate and comprehensive predictions. It involves training deep neural networks on data that includes multiple types of information and using the network to make predictions based on this combined data.
One of the key challenges in multimodal deep learning is how to effectively combine information from multiple modalities. This can be done using a variety of techniques, such as fusing the features extracted from each modality, or using attention mechanisms to weight the contribution of each modality based on its importance for the task at hand.
Multimodal deep learning has many applications, including image captioning, speech recognition, natural language processing, and autonomous vehicles. By combining information from multiple modalities, multimodal deep learning can improve the accuracy and robustness of models, enabling them to perform better in real-world scenarios where multiple types of information are present.",https://paperswithcode.com/task/multimodal-deep-learning
Multimodal Emotion Recognition,"This is a leaderboard for multimodal emotion recognition on the IEMOCAP dataset. The modality abbreviations are A: Acoustic T: Text V: Visual
Please include the modality in the bracket after the model name.
All models must use standard five emotion categories and are evaluated in standard leave-one-session-out (LOSO). See the papers for references.",https://paperswithcode.com/task/multimodal-emotion-recognition
Multiple Object Tracking with Transformer,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multiple-object-tracking-with-transformer
Multiple People Tracking,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multiple-people-tracking
Multiview Learning,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/multiview-learning
Music Information Retrieval,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/music-information-retrieval
Natural Language Queries,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/natural-language-queries
Natural Language Visual Grounding,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/natural-language-visual-grounding
Object Counting,"The goal of Object Counting task is to count the number of object instances in a single image or video sequence. It has many real-world applications such as traffic flow monitoring, crowdedness estimation, and product counting.
Source: Learning to Count Objects with Few Exemplar Annotations",https://paperswithcode.com/task/object-counting
One-Shot 3D Action Recognition,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/one-shot-3d-action-recognition
Online Action Detection,Online action detection is the task of predicting the action as soon as it happens in a streaming video without access to video frames in the future.,https://paperswithcode.com/task/online-action-detection
Open World Object Detection,"Open World Object Detection is a computer vision problem where a model is tasked to: 1) identify objects that have not been introduced to it as `unknown', without explicit supervision to do so, and 2) incrementally learn these identified unknown categories without forgetting previously learned classes, when the corresponding labels are progressively received.",https://paperswithcode.com/task/open-world-object-detection
Partially Relevant Video Retrieval,"In the Partially Relevant Video Retrieval (PRVR) task, an untrimmed video is considered to be partially relevant w.r.t. a given textual query if it contains a moment relevant to the query. PRVR aims to retrieve such partially relevant videos from a large collection of untrimmed videos.",https://paperswithcode.com/task/partially-relevant-video-retrieval
Person Identification,This task has no description! Would you like to contribute one?,https://paperswithcode.com/task/person-identification
Pose Retrieval,Retrieval of similar human poses from images or videos,https://paperswithcode.com/task/pose-retrieval
Real-Time Semantic Segmentation,"Semantic Segmentation is a computer vision task that involves assigning a semantic label to each pixel in an image. In Real-Time Semantic Segmentation, the goal is to perform this labeling quickly and accurately in real-time, allowing for the segmentation results to be used for tasks such as object recognition, scene understanding, and autonomous navigation.
( Image credit: TorchSeg )",https://paperswithcode.com/task/real-time-semantic-segmentation
Robot Navigation,"The fundamental objective of mobile Robot Navigation is to arrive at a goal position without collision. The mobile robot is supposed to be aware of obstacles and move freely in different working scenarios.
Source: Learning to Navigate from Simulation via Spatial and Semantic Information Synthesis with Noise Model Embedding",https://paperswithcode.com/task/robot-navigation
